

MI_SI_WLAN_AP_ID,MI_SI_WLAN_AP_Name,MI_SI_Building_Number,MI_SI_WLAN_AP_Hname,MI_SI_WLAN_AP_IP,MI_SI_WLAN_APGroup_Name,MI_SI_WLAN_AP_MAC,MI_SI_WLAN_AP_SN,MI_SI_WLAN_AP_Model,MI_SI_WLAN_AP_Scale,MI_SI_Cabinet_Name,MI_SI_Switch_Name,MI_SI_Switch_IP,MI_SI_SWPort_Interface,MI_SI_Cabling_Number,MI_SI_WLAN_AP_Location,MI_SI_WLAN_AP_Memo02,MI_SI_WLAN_AP_Status,MI_SI_WLAN_WLC_HName,MI_SI_WLAN_AP_IfEnabled,MI_SI_WLAN_AP_Date_Install,MI_SI_WLAN_AP_Memo,MI_SI_WLAN_AP_Height,MI_SI_WLAN_AP_Floor,MI_SI_WLAN_AP_Maintenance
257,640-BMA3,B640,SY2640-3TC-FACC2602-A,10.70.30.159,EPC_RMZA-B,74:a0:2f:40:75:c3,SFGL1903X76Q,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,640-TC-03,SY2640-3TCAC26PS24,10.70.28.193,Fa0/13,-1E13c,地下室03,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,-1,Basement
258,602-BMA1,B522,SY2602-1ICS2-FACC2602-A,10.70.30.160,EPC_RMZA-B,f4:cf:e2:be:1a:4c,SFGL1903X762,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,602-IC-01-S2,SY2602-1ICBC26PS48,10.70.28.202,Fa0/46,1C1p,南区，维修车间,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
259,450-BMA1,B450,SY2450-1ICS1-FACC2602-A,10.70.30.161,EPC_RMZA-B,74:a0:2f:40:79:1a,SFGL1903X75E,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,450-IC-01-S1,SY2450-1IC01BC26PS48,10.70.28.113,Fa0/20,1D5e,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
260,450-BMA2,B450,SY2450-1ICS1-FACC2602-B,10.70.30.162,EPC_RMZA-B,f4:cf:e2:be:18:6d,SFGL1903X75C,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,450-IC-01-S1,SY2450-1IC01BC26PS48,10.70.28.113,Fa0/23,1D5f,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
261,416-BMA1,B416,SY2416-2TC-FACC2602-A,10.70.30.163,EPC_RMZA-B,74:a0:2f:40:79:05,SFGL1903X764,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,416-TC-02,SY2416-1TC01BC26PS24,10.70.28.66,Fa0/11,1D3c,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
262,431-BMA1,B431,SY2431-1ICS1-FACC2602-A,10.70.30.164,EPC_RMZA-B,74:a0:2f:40:78:e5,SFGL1903X757,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,431-IC-01-S1,SY2431-2IC01AC26PS24,10.70.28.75,Fa0/24,1J36a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
263,431-BMA2,B431,SY2431-1TC-FACC2602-A,10.70.30.165,EPC_RMZA-B,74:a0:2f:40:76:df,SFGL1903X75W,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,431-TC-01,SY2431-2IC01CC26PS24,10.70.28.77,Fa0/23,2P36a,Floor 2,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
264,125-BMA1,B125,SY2125-1TC-FACC2602-A,10.70.30.166,ASCE,f8:c2:88:84:36:50,SFGL1903X765,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,125-TC-01,SY2125-1TC01BC26PS24,10.70.28.208,Fa0/6,1R5b,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
265,125-BMA2,B125,SY2125-1TC-FACC2602-B,10.70.30.167,ASCE,f4:cf:e2:be:1a:4b,SFGL1903X779,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,125-TC-01,SY2125-1TC01BC26PS24,10.70.28.208,Fa0/7,1N5a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
266,125-BMA3,B125,SY2125-1TC-FACC2602-C,10.70.30.168,ASCE,f4:cf:e2:be:1a:76,SFGL1903X766,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,125-TC-01,SY2125-1TC01BC26PS24,10.70.28.208,Fa0/8,1L5a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
267,125-BMA4,B125,SY2125-1TC-FACC2602-D,10.70.30.169,ASCE,f4:cf:e2:be:18:ef,SFGL1903X76B,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,125-TC-01,SY2125-1TC01BC26PS24,10.70.28.208,Fa0/9,1H3a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
268,125-BMA5,B125,SY2125-1TC-FACC2602-E,10.70.30.170,ASCE,f4:cf:e2:be:17:af,SFGL1903X76G,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,125-TC-01,SY2125-1TC01BC26PS24,10.70.28.208,Fa0/10,1H6a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
269,125-BMA6,B125,SY2125-1TC-FACC2602-F,10.70.30.171,ASCE,f4:cf:e2:be:17:5c,SFGL1903X777,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,125-TC-01,SY2125-1TC01BC26PS24,10.70.28.208,Fa0/11,1C3a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
270,150-BMA6,B150,SY2150-1TC-FACC2602-E,10.70.30.172,EPC_RMZA-B,74:a0:2f:40:75:cc,SFGL1903X775,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01AC26PS24,10.70.28.81,Fa0/22,1D43b,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,1,
271,150-BMA7,B150,SY2150-1TC-FACC2602-F,10.70.30.173,EPC_RMZA-B,74:a0:2f:40:75:dd,SFGL1903X77L,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,150-TC-01,SY2150-1TC01AC26PS24,10.70.28.81,Fa0/23,1D45a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,1,
272,124-BMA1,B124,SY2124-1TC-FACC2602-A,10.70.30.174,ASCE,f8:c2:88:84:36:58,SFGL1903X77K,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,124-TC-01,SY2124-1TC01AC26PS24,10.70.28.116,Fa0/14,1C2a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
273,124-BMA2,B124,SY2124-1TC-FACC2602-B,10.70.30.175,ASCE,f4:cf:e2:be:1a:c1,SFGL1903X77F,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,124-TC-01,SY2124-1TC01AC26PS24,10.70.28.116,Fa0/15,1C5a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
274,127-BMA1,B127,SY2127-1TC-FACC2602-A,10.70.30.176,ASCE,f4:cf:e2:be:17:6f,SFGL1903X77T,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,127-TC-01,SY2127-1TC01AC26PS24,10.70.28.102,Fa0/11,1B3c,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
275,101-BMA1,B101,SY2101-1TC-FACC2602-A,10.70.30.177,ASCE,74:a0:2f:40:77:ef,SFGL1903X77J,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,101-TC-01,SY2101-1TC01AC26PS48,10.70.28.121,Fa0/41,1E1c,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
276,101-BMA2,B101,SY2101-1TC-FACC2602-B,10.70.30.178,ASCE,f4:cf:e2:be:1a:3e,SFGL1903X77U,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,101-TC-01,SY2101-1TC01AC26PS48,10.70.28.121,Fa0/42,1E2a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
277,101-BMA3,B101,SY2101-1TC-FACC2602-C,10.70.30.179,ASCE,74:a0:2f:40:78:40,SFGL1903X77E,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,101-TC-01,SY2101-1TC01AC26PS48,10.70.28.121,Fa0/43,1B1a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
278,101-BMA4,B101,SY2101-1TC-FACC2602-D,10.70.30.180,ASCE,f4:cf:e2:be:1a:75,SFGL1903X768,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,101-TC-01,SY2101-1TC01AC26PS48,10.70.28.121,Fa0/44,1B2a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
279,411-BMA1,B411,SY2411-1TC-FACC2602-H,10.70.30.181,EPC_RMZA-B,74:a0:2f:40:78:d7,SFGL1903X752,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/32,2G2a,Floor2,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
280,411-BMA2,B411,SY2411-1TC-FACC2602-I,10.70.30.182,EPC_RMZA-B,f4:cf:e2:be:18:79,SFGL1903X74S,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/33,2E5a,Floor2,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
281,411-BMA3,B411,SY2411-1TC-FACC2602-J,10.70.30.183,EPC_RMZA-B,74:a0:2f:40:75:b3,SFGL1903X74T,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/34,3K2a,Floor3;South,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
282,411-BMA4,B411,SY2411-1TC-FACC2602-K,10.70.30.184,EPC_RMZA-B,f4:cf:e2:be:19:ab,SFGL1903X76D,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/35,3K5a,Floor3;North,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
283,411-BMA5,B411,SY2411-1TC-FACC2602-L,10.70.30.185,EPC_RMZA-B,f4:cf:e2:be:1a:a0,SFGL1903X767,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/36,4K2a,Floor4;South,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
284,411-BMA6,B411,SY2411-1TC-FACC2602-M,10.70.30.186,EPC_RMZA-B,74:a0:2f:40:75:95,SFGL1903X771,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/37,4K5a,Floor4;North,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
285,411-BMA7,B411,SY2411-1TC-FACC2602-N,10.70.30.187,EPC_RMZA-B,f4:cf:e2:be:17:b5,SFGL1903X773,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/38,-1K1a,Basement Floor-1,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,-1,
286,411-BMA8,B411,SY2411-1TC-FACC2602-O,10.70.30.188,EPC_RMZA-B,f4:cf:e2:be:19:b2,SFGL1903X76T,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/39,-2K1a,Basement Floor-2,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,-2,
287,411-BMA9,B411,SY2411-1TC-FACC2602-P,10.70.30.189,EPC_RMZA-B,74:a0:2f:40:76:64,SFGL1903X759,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,411-TC-01,SY2411-1TCAC26PS48,10.70.28.31,Fa0/40,-3K1a,Basement Floor-3,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,-3,
288,609-BMA1,B609,SY2609-1TC-FACC2602-A,10.70.30.190,EPC_RMZA-B,74:a0:2f:40:78:1d,SFGL1903X75S,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,560-TC-01,SY2560-1TCAC26PS48,10.70.28.190,Fa0/35,1H9u,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
289,692-BMA1,B692,SY2692-1IC-FACC2602-D,10.70.30.191,EPC_RMZA-B,74:a0:2f:40:78:2f,SFGL1903X761,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,605-IC-01-S2,SY2605-1ICBC26PS48,10.70.28.163,Fa0/45,1K1s,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
290,690-BMA1,B690,SY2690-1IC-FACC2602-A,10.70.30.192,EPC_RMZA-B,74:a0:2f:40:78:5d,SFGL1903X75R,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,505-IC-01-S2,SY2505-2IC01AC26PS48,10.70.28.78,Fa0/34,1F5c,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
291,820-BMA4,B820,SY2820-1TC-FACC2602-D,10.70.30.193,,,SFGL1903X76K,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,820-TC-01,SY2820-1TC01AC26PS48,10.70.28.120,Fa0/28,1M18a,Instcok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Spares,,0,1900/1/1 0:00,,7,1,
292,820-BMA5,B820,SY2820-1TC-FACC2602-E,10.70.30.194,,,SFGL1903X76Z,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,820-TC-01,SY2820-1TC01AC26PS48,10.70.28.120,Fa0/29,1N6a,Instcok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Spares,,0,1900/1/1 0:00,,7,1,
293,820-BMA6,B820,SY2820-1TC-FACC2602-F,10.70.30.195,,,SFGL1903X75Y,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,820-TC-01,SY2820-1TC01AC26PS48,10.70.28.120,Fa0/30,1N10c,Instcok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Spares,,0,1900/1/1 0:00,,7,1,
294,820-BMA7,B820,SY2820-1TC-FACC2602-G,10.70.30.196,,,SFGL1903X77D,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,820-TC-01,SY2820-1TC01AC26PS48,10.70.28.120,Fa0/31,1N14a,Instcok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Spares,,0,1900/1/1 0:00,,7,1,
295,820-BMA8,B820,SY2820-1TC-FACC2602-H,10.70.30.197,,,SFGL1903X75P,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,820-TC-01,SY2820-1TC01AC26PS48,10.70.28.120,Fa0/32,1N18a,Instcok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Spares,,0,1900/1/1 0:00,,7,1,
296,133-BMA1,B133,SY2133-1TC-FACC2602-A,10.70.30.198,ASCE,74:a0:2f:40:78:17,SFGL1903X769,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,133-TC-01,SY2133-1TC01AC26PS24,10.70.28.118,Fa0/7,1A2d,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
297,133-BMA2,B133,SY2133-1TC-FACC2602-B,10.70.30.199,ASCE,f4:cf:e2:be:1a:d1,SFGL1903X76A,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,133-TC-01,SY2133-1TC01AC26PS24,10.70.28.118,Fa0/8,1C3a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
298,262-BMA1,B262,SY2262-1TC-FACC2602-A,10.70.30.200,ASCE,74:a0:2f:40:78:6f,SFGL1903X76F,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,262-TC-01,SY2262-1TC01AC26PS48,10.70.28.151,Fa0/47,1D1c,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
299,211-BMA1,B211,SY2211-1TC-FACC2602-A,10.70.30.201,ASCE,74:a0:2f:40:77:c9,SFGL1903X77S,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,211-TC-01,SY2211-1TC01AC26PS24,10.70.28.155,Fa0/11,1C3c,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
300,473-BMA1,B473,SY2473-1IC-FACC2602-A,10.70.30.202,BSM_EPC,74:a0:2f:40:78:56,SFGL1903X76E,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,473-IC,SY2473-2IC01AC26PS48,10.70.28.98,Fa0/20,1B15c,MaintenanceShop,WLANSY2ASCE01 WLANSY2RBSM01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,4,1,Workshop
301,473-BMA2,B473,SY2473-1IC-FACC2602-B,10.70.30.203,BSM_EPC,f4:cf:e2:be:1a:40,SFGL1903X77A,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,473-IC,SY2473-2IC01AC26PS48,10.70.28.98,Fa0/23,2B15a,Controll-room,WLANSY2ASCE01 WLANSY2RBSM01 WLANSY2RCBR02,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,2,Office
302,123-BMA1,B123,SY2123-1TC-FACC2602-A,10.70.30.211,ASCE,f4:cf:e2:be:19:b8,SFGL1903X77C,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,123-TC-01,SY2265-1TC01AC26PS24,10.70.28.104,Fa0/14,1K1a,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
303,123-BMA2,B123,SY2123-1TC-FACC2602-B,10.70.30.212,ASCE,f4:cf:e2:be:19:5b,SFGL1903X76W,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,123-TC-01,SY2265-1TC01AC26PS24,10.70.28.104,Fa0/15,1B4b,ok,WLANSY2ASCE01  ,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,,,
304,660-BMA8,B660,SY2660-2TC-FACC2602-A,10.70.30.204,FYT_TBL2,f4:cf:e2:be:1a:b6,SFGL1903X74V,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-02,SY2660-1TC02AC26PS24,10.70.28.93,Fa0/1,1J4a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
305,660-BMA9,B660,SY2660-2TC-FACC2602-B,10.70.30.205,FYT_TBL2,f4:cf:e2:be:1a:ab,SFGL1903X77N,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-02,SY2660-1TC02AC26PS24,10.70.28.93,Fa0/2,1H4a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
306,660-BMA10,B660,SY2660-2TC-FACC2602-C,10.70.30.206,FYT_TBL2,74:a0:2f:40:77:b7,SFGL1903X754,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-02,SY2660-1TC02AC26PS24,10.70.28.93,Fa0/3,1H5a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
307,660-BMA11,B660,SY2660-3TC-FACC2602-A,10.70.30.207,FYT_TBL2,f4:cf:e2:be:1b:8f,SFGL1903X750,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-03,SY2660-1TC03AC26PS24,10.70.28.94,Fa0/23,1D5a,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
308,660-BMA12,B660,SY2660-3TC-FACC2602-B,10.70.30.208,FYT_TBL2,f4:cf:e2:be:17:54,SFGL1903X77R,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,660-TC-03,SY2660-1TC03AC26PS24,10.70.28.94,Fa0/24,1C5c,ok,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,7,1,
309,640-BMA4,B640,SY2640-1TC-FACC2602-A,10.70.30.209,FYT_TBL2,74:a0:2f:40:75:7e,SFGL1903X77Q,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,640-TC-01,SY2640-1TCAC26PS24,10.70.28.191,Fa0/22,-1H13a,东区南墙;代替原640-AP1,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,-1,Basement
310,640-BMA5,B640,SY2640-1TC-FACC2602-B,10.70.30.210,FYT_TBL2,74:a0:2f:40:77:91,SFGL1903X7BS,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,640-TC-01,SY2640-1TCAC26PS24,10.70.28.191,Fa0/23,-1G13c,东区D线:HOL; 代替原640-AP2,WLANSY2ASCE01 WLANSY2RFYT01 WLANSY2RCBR01,Mounted,SY2100-1MCCCCT5508,1,2015/3/1 0:00,2015;BMA,3,-1,Basement
311,432-AP01,B432,SY2432-1TC-FACC2602E-A,10.70.16.91,EPC_RMZA-B,74:a2:e6:4a:e9:02,SFGL1907X1UG,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,432-IC-01-S1,SY2432-1TCAC26PS24,10.70.28.211,Fa0/1,1V39a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
312,432-AP02,B432,SY2432-1TC-FACC2602E-B,10.70.16.92,EPC_RMZA-B,64:f6:9d:de:95:2e,SFGL1907X1U6,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,432-IC-01-S1,SY2432-1TCAC26PS24,10.70.28.211,Fa0/2,1T37a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
313,432-AP03,B432,SY2432-1TC01-FACC2602E-A,10.70.16.93,EPC_RMZA-B,64:f6:9d:de:94:dd,SFGL1907X1U8,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,432-TC-01,SY2432-1TC01AC26PS48,10.70.28.213,Fa0/1,3T38a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
314,432-AP04,B432,SY2432-1TC01-FACC2602E-B,10.70.16.94,EPC_RMZA-B,64:f6:9d:de:94:0f,SFGL1907X1UF,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,432-TC-01,SY2432-1TC01AC26PS48,10.70.28.213,Fa0/2,4T38a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
315,432-AP05,B432,SY2432-1TC01-FACC2602E-C,10.70.16.95,EPC_RMZA-B,74:a2:e6:4a:f2:2f,SFGL1907X1U7,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,432-TC-01,SY2432-1TC01AC26PS48,10.70.28.213,Fa0/3,5T39a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
316,442-AP01,B442,SY2442-1TC01-FACC2602E-A,10.70.16.96,EPC_RMZA-B,64:f6:9d:de:94:ee,FGL1907X1UJ,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-01,SY2442-1TC01AC26PS48,10.70.28.214,Fa0/1,1T43a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
317,442-AP02,B442,SY2442-1TC01-FACC2602E-B,10.70.16.97,EPC_RMZA-B,64:f6:9d:de:95:03,SFGL1907X1UB,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-01,SY2442-1TC01AC26PS48,10.70.28.214,Fa0/2,1T48a,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
318,442-AP03,B442,SY2442-1TC01-FACC2602E-C,10.70.16.98,EPC_RMZA-B,74:a2:e6:4a:f2:4b,SFGL1907X1UL,AIR-CAP2602E-C-K9,Scale:6;Power:5mW,442-TC-01,SY2442-1TC01AC26PS48,10.70.28.214,Fa0/3,1T46c,ok,WLANSY2ASCE01 WLANSY2RRMZ01 WLANSY2RCBR02,Mounted,SY2100-1MCCACT5508,1,,2013;FactoryLAN,,,
